Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
67,Sergio Almirón\Sergio-Almiron,ar ARG,MF,Catania,it Serie A,30,1980,32,31,2605,28.9,4,0,4,0,0,5,1,0.14,0.00,0.14,0.14,0.14,Matches
68,Paul Alo'o\Paul-Aloo,cm CMR,FW,Nancy,fr Ligue 1,27,1983,6,0,77,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
69,Alejandro Alonso\Alejandro-Alonso,ar ARG,MF,Saint-Étienne,fr Ligue 1,29,1982,5,2,149,1.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
70,Marcos Alonso\Marcos-Alonso,es ESP,DFMF,Bolton,eng Premier League,20,1990,5,4,331,3.7,1,0,1,0,0,0,0,0.27,0.00,0.27,0.27,0.27,Matches
71,Xabi Alonso\Xabi-Alonso,es ESP,MF,Real Madrid,es La Liga,29,1981,36,35,3138,34.9,1,5,1,0,0,13,0,0.03,0.14,0.17,0.03,0.17,Matches
72,Alexandre Alphonse\Alexandre-Alphonse,gp GLP,FWMF,Brest,fr Ligue 1,29,1982,11,9,734,8.2,1,1,1,0,0,0,0,0.12,0.12,0.25,0.12,0.25,Matches
73,Sanaa Altama\Sanaa-Altama,td CHA,MF,Dijon,fr Ligue 1,21,1990,17,11,961,10.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
74,Hamit Alt?ntop\Hamit-Altintop,tr TUR,DFMF,Real Madrid,es La Liga,28,1982,5,1,164,1.8,1,0,1,0,0,0,0,0.55,0.00,0.55,0.55,0.55,Matches
75,Cristian Álvarez\Cristian-Alvarez,ar ARG,GK,Espanyol,es La Liga,25,1985,23,23,2059,22.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
76,Édgar Álvarez\Edgar-Alvarez,hn HON,DFMF,Palermo,it Serie A,31,1980,8,4,409,4.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
77,Pablo Álvarez\Pablo-Alvarez,ar ARG,DF,Catania,it Serie A,27,1984,7,7,506,5.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
78,Pablo Álvarez\Pablo-Alvarez,ar ARG,DF,Zaragoza,es La Liga,27,1984,15,15,1281,14.2,0,1,0,0,0,6,1,0.00,0.07,0.07,0.00,0.07,Matches
79,Ricky Álvarez\Ricky-Alvarez,ar ARG,MF,Inter,it Serie A,23,1988,21,15,1167,13.0,2,5,2,0,0,3,0,0.15,0.39,0.54,0.15,0.54,Matches
80,Sergio Álvarez\Sergio-Alvarez,es ESP,MF,Sporting Gijón,es La Liga,19,1992,6,4,325,3.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
81,Dani Alves\Dani-Alves,br BRA,DFMF,Barcelona,es La Liga,28,1983,33,29,2674,29.7,2,9,2,0,0,8,2,0.07,0.30,0.37,0.07,0.37,Matches
82,Diego Alves\Diego-Alves,br BRA,GK,Valencia,es La Liga,26,1985,12,12,1080,12.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
83,Morgan Amalfitano\Morgan-Amalfitano,fr FRA,MF,Marseille,fr Ligue 1,26,1985,32,28,2454,27.3,1,4,1,0,0,9,0,0.04,0.15,0.18,0.04,0.18,Matches
84,Luis Amaranto Perea\Luis-Amaranto-Perea,co COL,DF,Atlético Madrid,es La Liga,32,1979,19,11,1107,12.3,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
85,Jordi Amat\Jordi-Amat,es ESP,DF,Espanyol,es La Liga,19,1992,9,7,638,7.1,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
86,Amauri\Amauri,it ITA,FW,Fiorentina,it Serie A,31,1980,13,11,973,10.8,1,0,1,0,0,4,0,0.09,0.00,0.09,0.09,0.09,Matches
87,Antonio Amaya\Antonio-Amaya,es ESP,DF,Betis,es La Liga,28,1983,12,9,941,10.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
88,Massimo Ambrosini\Massimo-Ambrosini,it ITA,MF,Milan,it Serie A,34,1977,22,17,1407,15.6,1,2,1,0,0,7,0,0.06,0.13,0.19,0.06,0.19,Matches
89,Martin Amedick\Martin-Amedick,de GER,DF,Kaiserslautern,de Bundesliga,28,1982,14,13,1179,13.1,0,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,Matches
90,Marco Amelia\Marco-Amelia,it ITA,GK,Milan,it Serie A,29,1982,9,7,731,8.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
91,Sammy Ameobi\Sammy-Ameobi,eng ENG,FWMF,Newcastle Utd,eng Premier League,19,1992,10,1,202,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
92,Shola Ameobi\Shola-Ameobi,ng NGA,FW,Newcastle Utd,eng Premier League,29,1981,27,8,1023,11.4,2,5,2,0,0,3,0,0.18,0.44,0.62,0.18,0.62,Matches
93,Massimiliano Ammendola\Massimiliano-Ammendola,it ITA,MF,Napoli,it Serie A,21,1990,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
94,Fernando Amorebieta\Fernando-Amorebieta,ve VEN,DF,Athletic Club,es La Liga,26,1985,28,27,2330,25.9,3,0,3,0,0,11,2,0.12,0.00,0.12,0.12,0.12,Matches
95,Ben Amos\Ben-Amos,eng ENG,GK,Manchester Utd,eng Premier League,21,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
96,Mohamed Amsif\Mohamed-Amsif,ma MAR,GK,Augsburg,de Bundesliga,22,1989,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
97,Stephan Andersen\Stephan-Andersen,dk DEN,GK,Evian,fr Ligue 1,29,1981,30,29,2640,29.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
98,Anderson\Anderson,br BRA,MF,Manchester Utd,eng Premier League,23,1988,10,8,690,7.7,2,1,2,0,0,2,0,0.26,0.13,0.39,0.26,0.39,Matches
99,Bruno Andrade\Bruno-Andrade,pt POR,MF,QPR,eng Premier League,17,1993,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
100,Benjamin André\Benjamin-Andre,fr FRA,DFMF,Ajaccio,fr Ligue 1,20,1990,33,30,2646,29.4,4,2,4,0,0,11,0,0.14,0.07,0.20,0.14,0.20,Matches
101,Marco Andreolli\Marco-Andreolli,it ITA,DF,Chievo,it Serie A,25,1986,23,22,1889,21.0,1,0,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,Matches
102,Keith Andrews\Keith-Andrews,ie IRL,MF,West Brom,eng Premier League,30,1980,14,8,789,8.8,2,1,2,0,0,2,0,0.23,0.11,0.34,0.23,0.34,Matches
103,Andrezinho\Andrezinho,br BRA,DF,Köln,de Bundesliga,29,1981,7,4,383,4.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
104,Mariano Andújar\Mariano-Andujar,ar ARG,GK,Catania,it Serie A,28,1983,16,16,1440,16.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
105,Nicolas Anelka\Nicolas-Anelka,fr FRA,FW,Chelsea,eng Premier League,32,1979,9,3,421,4.7,1,1,1,0,0,0,0,0.21,0.21,0.43,0.21,0.43,Matches
106,Juan Ángel Albín\Juan-Angel-Albin,uy URU,FWMF,Espanyol,es La Liga,25,1986,6,2,166,1.8,1,0,1,0,0,1,0,0.54,0.00,0.54,0.54,0.54,Matches
107,José Ángel Crespo\Jose-Angel-Crespo,es ESP,DF,Bologna,it Serie A,24,1987,7,3,326,3.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
108,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Getafe,es La Liga,27,1984,36,36,3240,36.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
109,José Ángel\Jose-Angel,es ESP,DF,Roma,it Serie A,21,1989,27,24,2182,24.2,0,1,0,0,0,3,1,0.00,0.04,0.04,0.00,0.04,Matches
110,Ângelo\Angelo,br BRA,DFMF,Siena,it Serie A,30,1981,13,7,629,7.0,0,1,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,Matches
111,Benjamin Angoua\Benjamin-Angoua,ci CIV,DF,Valenciennes,fr Ligue 1,24,1986,20,20,1726,19.2,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
112,Aldo Angoula\Aldo-Angoula,fr FRA,DF,Evian,fr Ligue 1,30,1981,30,29,2576,28.6,2,0,2,0,0,8,1,0.07,0.00,0.07,0.07,0.07,Matches
113,Victor Anichebe\Victor-Anichebe,ng NGA,FW,Everton,eng Premier League,23,1988,12,5,448,5.0,5,0,5,0,0,1,0,1.00,0.00,1.00,1.00,1.00,Matches
114,Kévin Anin\Kevin-Anin,fr FRA,MF,Nice,fr Ligue 1,25,1986,13,11,865,9.6,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
115,Kévin Anin\Kevin-Anin,fr FRA,MF,Sochaux,fr Ligue 1,25,1986,14,14,1260,14.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
116,Xavi Annunziata\Xavi-Annunziata,es ESP,FWMF,Osasuna,es La Liga,23,1987,6,2,148,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
117,Ion Ansotegi\Ion-Ansotegi,es ESP,DF,Real Sociedad,es La Liga,29,1982,9,8,745,8.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
118,Luca Antonelli\Luca-Antonelli,it ITA,DFMF,Genoa,it Serie A,24,1987,11,8,677,7.5,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
119,Luca Antonini\Luca-Antonini,it ITA,DFMF,Milan,it Serie A,28,1982,20,17,1464,16.3,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
120,José Antonio Reyes\Jose-Antonio-Reyes,es ESP,MF,Sevilla,es La Liga,27,1983,19,15,1179,13.1,1,4,1,0,0,1,0,0.08,0.31,0.38,0.08,0.38,Matches
121,José Antonio Reyes\Jose-Antonio-Reyes,es ESP,MF,Atlético Madrid,es La Liga,27,1983,13,8,715,7.9,0,2,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,Matches
122,Francesco Antonioli\Francesco-Antonioli,it ITA,GK,Cesena,it Serie A,41,1969,30,30,2691,29.9,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
123,Mikael Antonsson\Mikael-Antonsson,se SWE,DF,Bologna,it Serie A,30,1981,24,22,1862,20.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
124,Dennis Aogo\Dennis-Aogo,de GER,DFMF,Hamburger SV,de Bundesliga,24,1987,30,30,2700,30.0,0,2,0,0,0,6,0,0.00,0.07,0.07,0.00,0.07,Matches
125,Dudu Aouate\Dudu-Aouate,il ISR,GK,Mallorca,es La Liga,33,1977,37,37,3277,36.4,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
126,Onyekachi Apam\Onyekachi-Apam,ng NGA,DF,Rennes,fr Ligue 1,24,1986,12,12,915,10.2,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches
127,Apoño\Apono,es ESP,MF,Málaga,es La Liga,27,1984,6,2,211,2.3,1,0,0,1,1,1,0,0.43,0.00,0.43,0.00,0.00,Matches
128,Apoño\Apono,es ESP,MF,Zaragoza,es La Liga,27,1984,17,16,1381,15.3,5,1,2,3,3,4,0,0.33,0.07,0.39,0.13,0.20,Matches
129,Alberto Aquilani\Alberto-Aquilani,it ITA,MF,Milan,it Serie A,27,1984,23,14,1398,15.5,1,5,1,0,0,5,0,0.06,0.32,0.39,0.06,0.39,Matches
130,Manuel Arana\Manuel-Arana,es ESP,MF,Racing Sant,es La Liga,26,1984,28,22,2022,22.5,2,2,2,0,0,8,0,0.09,0.09,0.18,0.09,0.18,Matches
131,Mikel Aranburu\Mikel-Aranburu,es ESP,MF,Real Sociedad,es La Liga,32,1979,29,26,2146,23.8,2,2,2,0,0,3,0,0.08,0.08,0.17,0.08,0.17,Matches
132,Carlos Aranda\Carlos-Aranda,es ESP,FW,Zaragoza,es La Liga,31,1980,13,9,755,8.4,3,2,3,0,1,1,0,0.36,0.24,0.60,0.36,0.60,Matches
133,Carlos Aranda\Carlos-Aranda,es ESP,FW,Levante,es La Liga,31,1980,10,0,195,2.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
134,Juan Arango\Juan-Arango,ve VEN,MF,M'Gladbach,de Bundesliga,31,1980,34,34,3026,33.6,6,10,6,0,0,4,0,0.18,0.30,0.48,0.18,0.48,Matches
135,Álvaro Arbeloa\Alvaro-Arbeloa,es ESP,DF,Real Madrid,es La Liga,28,1983,26,26,2218,24.6,0,2,0,0,0,9,0,0.00,0.08,0.08,0.00,0.08,Matches
136,Lorenzo Ariaudo\Lorenzo-Ariaudo,it ITA,DF,Cagliari,it Serie A,22,1989,24,16,1601,17.8,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches
137,Javier Arizmendi\Javier-Arizmendi,es ESP,FWMF,Getafe,es La Liga,27,1984,3,0,57,0.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
